30.2531558465	120.2128814295
29.8789914554	121.5725615222
27.9969356245	120.6840708449
29.9961220223	120.58602239
28.6619406744	121.4342045627
30.7680690821	120.7538867439
29.0965430657	119.646143193
30.8716638269	120.1307914862
28.9511644113	118.8692581414
28.4505371963	119.9229925855
30.0296525219	122.1634419921
32.0511368085	118.7715804329
31.3117188474	120.6134634278
33.3737712662	120.1423831563
33.9459433672	118.2904176921
31.5643734576	120.2988429766
32.0085666345	120.8673437309
32.4024205027	119.4212903032
34.2659015847	117.1815175871
34.5952116892	119.1674574352
32.198761889	119.4492273404
31.7653001556	119.9753817677
33.6002327512	119.0237213107
32.4701448375	119.9130892989
31.2434191659	121.4813312057
